,0,1,2,3,4,5,6,7,8,9,avg-runtime
0.01,0.8502,0.8558,0.8628,0.8466,0.8412,0.8539,0.8591,0.8548,0.8557,0.854,1.3845391511917113
0.025,0.9124,0.9044,0.9061,0.8917,0.8985,0.9056,0.8971,0.8888,0.8971,0.8925,2.4688823938369753
0.05,0.9301,0.9282,0.9228,0.9233,0.9274,0.926,0.9244,0.9292,0.9244,0.9287,4.603700304031372
0.1,0.9429,0.9421,0.9425,0.9413,0.944,0.9442,0.9446,0.9443,0.941,0.9436,8.892073440551759
0.25,0.9507,0.9532,0.9519,0.9531,0.953,0.9519,0.9534,0.9526,0.9522,0.9541,21.694122743606567
0.5,0.9576,0.9567,0.9571,0.9572,0.9582,0.9571,0.957,0.9568,0.9569,0.9581,43.087267470359805
1.0,0.9604,0.9601,0.961,0.9616,0.9602,0.9597,0.9605,0.9617,0.9609,0.9608,85.75439200401306
2.5,0.9677,0.9677,0.968,0.9665,0.9669,0.9668,0.9681,0.9659,0.9689,0.9676,214.08493485450745
5.0,0.9689,0.97,0.9686,0.9687,0.9707,0.9672,0.9682,0.9684,0.9687,0.9691,427.75104413032534
10.0,0.9712,0.9701,0.9694,0.9684,0.9687,0.969,0.9696,0.9666,0.9686,0.9688,855.4325355768203
